status,Domain name,name,redirect,dotgov,https,responseTime,title,description,keywords,robots,viewport,canonical,ogLocale,ogSiteName,ogType,ogTitle,ogDescription,ogUrl,ogImage,ogImageWidth,ogImageHeight,ogImageAlt,twitterSite,twitterCard,twitterTitle,twitterDescription,twitterImage,history,Domain type,Agency,Organization name,City,State,Security contact email
404,achp.gov,Advisory Council On Historic Preservation,http://achp.gov/,1.0,0.0,366.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov
404,preserveamerica.gov,Advisory Council On Historic Preservation,http://preserveamerica.gov/,1.0,0.0,390.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov
200,amtrakoig.gov,Amtrak,https://amtrakoig.gov/,1.0,1.0,783.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],Federal - Executive,AMTRAK,Office of Inspector General,Washington,DC,(blank)
200,acus.gov,Administrative Conference Of The United States,https://www.acus.gov/,1.0,1.0,900.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],Federal - Executive,Administrative Conference of the United States,Administrative Conference of the United States,Washington,DC,info@acus.gov
500,afrh.gov,Armed Forces Retirement Home,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Federal - Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,Washington,DC,Stanley.Whitehead@afrh.gov
200,abmc.gov,American Battle Monuments Commission,https://www.abmc.gov/,1.0,1.0,1225.0,True,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,[],Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov
200,arc.gov,Appalachian Regional Commission,https://arc.gov/,1.0,1.0,399.0,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,[],Federal - Executive,Appalachian Regional Commission,Appalachian Regional Commission,Washington,DC,(blank)
200,cia.gov,Central Intelligence Agency,https://www.cia.gov/,1.0,1.0,723.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank)
500,ic.gov,Central Intelligence Agency,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank)
500,osde.gov,Central Intelligence Agency,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Federal - Executive,Central Intelligence Agency,CIA\GCS OSEG,Reston,VA,(blank)
500,opensource.gov,Central Intelligence Agency,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Federal - Executive,Central Intelligence Agency,DNI Open Source Center,Washington,DC,(blank)
500,istac.gov,Central Intelligence Agency,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank)
200,goldwaterscholarship.gov,Barry Goldwater Scholarship And Excellence In Education Foundation,https://goldwaterscholarship.gov/,1.0,1.0,1840.0,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,False,[],Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Alexandria,VA,goldwaterao@goldwaterscholarship.gov
200,asc.gov,Appraisal Subcommittee,https://asc.gov/,1.0,1.0,1233.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],Federal - Executive,Appraisal Subcommittee,Appraisal Subcommittee,Washington,DC,(blank)
