"name","Organization.name","n","mean_score"
"General Services Administration","GSA,FAS,Technology Transformation Service",30,61.4333333333333
"Department Of Labor","Office of the Chief Information Officer",21,41.3809523809524
"Department Of Justice","Office of Justice Programs",16,62.375
"Department Of The Treasury","Comptroller of the Currency",16,69
"Department Of The Interior","U.S. Geological Survey",13,22.3846153846154
"Department Of The Treasury","Bureau of the Public Debt",13,15
"Department Of Health And Human Services","Centers for Disease Control and Prevention",12,59.1666666666667
"Executive Office Of The President","Executive Office of the President",11,81.3636363636364
"Department Of Commerce","National Institute of Standards and Technology",10,51.4
"Department Of The Treasury","Department of the Treasury - FMS",9,12
"Department Of Commerce","International Trade Administration",8,52
"Department Of Health And Human Services","Centers for Medicare and Medicaid Services",8,28.75
"Department Of Health And Human Services","Office of the Secretary",8,63.5
"Department Of Health And Human Services","National Library of Medicine, NIH",7,42.8571428571429
"Department Of Health And Human Services","Substance Abuse and Mental Health Services Administration",7,52.8571428571429
"Department Of Homeland Security","Cybersecurity and Infrastructure Security Agency",7,47.2857142857143
"Department Of Justice","Department of Justice",7,42.7142857142857
"Department Of Health And Human Services","U. S. Food and Drug Administration",6,56.6666666666667
"Department Of Justice","Drug Enforcement Administration",6,29.3333333333333
"General Services Administration","GSA, IC, OGP Web Portfolio",6,61.5
"General Services Administration","General Services Administration",6,46
"Department Of Energy","Oak Ridge National Laboratory",5,29.2
"Department Of Health And Human Services","Administration for Community Living",5,20
"Department Of Health And Human Services","Office of the Assistant Secretary for Health, Office of the Secretary",5,48
"Department Of Homeland Security","Headquarters",5,70.8
"Department Of Health And Human Services","Agency for Healthcare Research and Quality",4,31
"Department Of Homeland Security","Federal Emergency Management Agency",4,32.75
"Department Of Justice","Civil Rights Division",4,57.75
"Executive Office Of The President","Office of Management and Budget",4,67.5
"Executive Office Of The President","White House Office",4,85
"Department Of Commerce","Census Bureau",3,59
"Department Of Energy","OSTI",3,33.3333333333333
"Department Of Energy","US Department of Energy, Office of the CIO",3,92
"Department Of Health And Human Services","Health Resources and Services Administration",3,23
"Department Of Health And Human Services","Office of Disease Prevention and Health Promotion, Office of the Secretary",3,25.6666666666667
"Department Of Homeland Security","U.S. Customs and Border Protection",3,53.6666666666667
"Department Of Homeland Security","USCIS",3,72
"Department Of Justice","Federal Bureau of Investigation",3,46.3333333333333
"Department Of Justice","Office of the Chief Information Officer",3,48.6666666666667
"Department Of The Interior","Department of the Interior",3,59
"Department Of The Interior","Minerals Management Service",3,15.3333333333333
"Department Of The Treasury","Department of the Treasury - IRS",3,23.3333333333333
"Department Of The Treasury","Department of the Treasury - OCIO",3,56.3333333333333
"Executive Office Of The President","Office of Administration",3,92
"General Services Administration","GSA, FAS, System for Award Management",3,15.3333333333333
"General Services Administration","GSA, IC, Acquisition",3,17.6666666666667
"General Services Administration","GSA, IDI, ECAS II",3,51.3333333333333
"Department Of Commerce","Department of Commerce",2,73
"Department Of Commerce","National Oceanic and Atmospheric Administration",2,34.5
"Department Of Commerce","National Telecommunications and Information Administration",2,27
"Department Of Energy","National Renewable Energy Laboratory",2,57.5
"Department Of Energy","Office of Energy Efficiency and Renewable Energy",2,46
"Department Of Energy","Pacific Northwest National Laboratory",2,31
"Department Of Health And Human Services","Administration for Children and Families",2,53.5
"Department Of Health And Human Services","Assistant Secretary for Preparedness and Response Office of the Secretary",2,77
"Department Of Health And Human Services","National Cancer Institute, NIH",2,58
"Department Of Health And Human Services","National Institute of Neurological Disorders and Stroke",2,31
