Domain name,name,title,description,robots,viewport,canonical,ogLocale,ogSiteName,ogType,ogTitle,ogDescription,ogUrl,ogImage,ogImageAlt,Domain type,Agency,Organization name,City,State,score,count
amtrakoig.gov,Amtrak,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,AMTRAK,Office of Inspector General,Washington,DC,23.0,3
acus.gov,Administrative Conference Of The United States,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Administrative Conference of the United States,Administrative Conference of the United States,Washington,DC,23.0,3
abmc.gov,American Battle Monuments Commission,1,1,0,1,1,0,1,0,0,0,1,0,0,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,46.0,6
arc.gov,Appalachian Regional Commission,1,0,1,1,1,1,1,1,1,1,1,1,0,Federal - Executive,Appalachian Regional Commission,Appalachian Regional Commission,Washington,DC,85.0,11
cia.gov,Central Intelligence Agency,1,1,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,23.0,3
goldwaterscholarship.gov,Barry Goldwater Scholarship And Excellence In Education Foundation,1,1,1,1,1,1,1,1,1,1,1,0,0,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Alexandria,VA,85.0,11
asc.gov,Appraisal Subcommittee,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Appraisal Subcommittee,Appraisal Subcommittee,Washington,DC,23.0,3
cftc.gov,Commodity Futures Trading Commission,1,0,0,1,0,0,0,0,0,0,0,1,0,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,23.0,3
csb.gov,Chemical Safety Board,1,1,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,Washington,DC,23.0,3
smartcheck.gov,Commodity Futures Trading Commission,1,0,0,1,1,0,0,0,0,0,0,1,0,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,31.0,4
whistleblower.gov,Commodity Futures Trading Commission,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,23.0,3
safetyvideos.gov,Chemical Safety Board,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,Washington,DC,15.0,2
anchorit.gov,Consumer Product Safety Commission,1,1,1,1,1,1,1,1,1,1,1,1,0,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,92.0,12
mimm.gov,Consumer Financial Protection Bureau,1,1,0,1,0,0,1,1,1,1,1,1,0,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,69.0,9
poolsafety.gov,Consumer Product Safety Commission,1,0,0,1,1,1,1,1,1,0,1,0,0,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,62.0,8
cpsc.gov,Consumer Product Safety Commission,1,0,0,1,1,0,1,1,1,0,1,1,0,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,62.0,8
poolsafely.gov,Consumer Product Safety Commission,1,0,0,1,1,1,1,1,1,0,1,0,0,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,62.0,8
drywallresponse.gov,Consumer Product Safety Commission,1,0,0,1,1,0,1,1,1,0,1,1,0,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,62.0,8
atvsafety.gov,Consumer Product Safety Commission,1,0,0,1,1,0,1,1,1,0,1,1,0,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,62.0,8
saferproducts.gov,Consumer Product Safety Commission,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,15.0,2
recalls.gov,Consumer Product Safety Commission,1,1,0,0,0,0,0,0,0,0,0,0,0,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,15.0,2
saferproduct.gov,Consumer Product Safety Commission,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,15.0,2
seguridadconsumidor.gov,Consumer Product Safety Commission,1,0,0,1,1,0,1,1,1,0,1,1,0,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,62.0,8
americorps.gov,Corporation For National & Community Service,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,23.0,3
americorpsoig.gov,Corporation For National & Community Service,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Corporation for National & Community Service,AmeriCorps Office of Inspector General,Washington,DC,23.0,3
presidentialserviceawards.gov,Corporation For National & Community Service,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,15.0,2
ignet.gov,Council Of Inspectors General On Integrity And Efficiency,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,23.0,3
oversight.gov,Council Of Inspectors General On Integrity And Efficiency,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,15.0,2
aviationweather.gov,Department Of Commerce,1,1,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,National Weather Service,Silver Spring,MD,23.0,3
bis.gov,Department Of Commerce,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,Bureau of Industry and Security,Washington,DC,23.0,3
csosa.gov,Court Services And Offender Supervision,1,0,1,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Court Services and Offender Supervision,Court Services and Offender Supervision Agency/Office of information Technology,Washington,DC,31.0,4
bea.gov,Department Of Commerce,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,Bureau of Economic Analysis,Suitland,MD,23.0,3
denali.gov,Denali Commission,1,0,1,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Denali Commission,Denali Commission,Anchorage,AK,31.0,4
dra.gov,Delta Regional Authority,1,0,1,1,0,1,1,1,1,1,1,1,0,Federal - Executive,Delta Regional Authority,Delta Regional Authority,Clarksdale,MS,77.0,10
buyusa.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,77.0,10
climate.gov,Department Of Commerce,1,1,1,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Commerce,NWS/OPS33,Silver Spring,MD,85.0,11
census.gov,Department Of Commerce,1,1,1,1,1,1,1,1,1,0,1,1,0,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,85.0,11
ap.gov,Department Of Commerce,1,0,0,0,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,TCD / BIS / Dept of Commerce,Washington,DC,8.0,1
commerce.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,0,0,Federal - Executive,Department of Commerce,Department of Commerce,Washington,DC,69.0,9
dataprivacyframework.gov,Department Of Commerce,1,1,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,International Trade Administration,Washington DC,DC,23.0,3
chips.gov,Department Of Commerce,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,54.0,7
firstnet.gov,Department Of Commerce,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,23.0,3
eda.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,1,1,Federal - Executive,Department of Commerce,Economic Development Administration,Washington,DC,85.0,11
export.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,77.0,10
edison.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,0,0,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,69.0,9
doc.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,0,0,Federal - Executive,Department of Commerce,Office of the Chief Information Officer,Washington,DC,69.0,9
drought.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Commerce,NOAA/NCDC,Asheville,NC,77.0,10
gps.gov,Department Of Commerce,1,1,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,National Executive Committee for Space-Based PNT,Washington,DC,23.0,3
goes-r.gov,Department Of Commerce,1,1,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,NASA GSFC,Greenbelt,MD,23.0,3
icams-portal.gov,Department Of Commerce,1,0,0,0,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration Office of the Federal Coordinator for Meteorology,Silver Spring,MD,8.0,1
heat.gov,Department Of Commerce,1,1,0,1,0,0,0,1,1,1,1,1,0,Federal - Executive,Department of Commerce,NOAA Climate Program Office,Silver Spring,MD,62.0,8
fishwatch.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Commerce,NOAA Fisheries,Silver Spring,MD,77.0,10
marinecadastre.gov,Department Of Commerce,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,NOAA Coastal Services Center,Charleston,SC,15.0,2
mbda.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,0,0,Federal - Executive,Department of Commerce,Minority Business Development Agency,Washington,DC,69.0,9
iedison.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,0,0,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,69.0,9
nist.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,77.0,10
nehrp.gov,Department Of Commerce,1,1,0,0,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,15.0,2
manufacturing.gov,Department Of Commerce,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Washington,DC,23.0,3
mgi.gov,Department Of Commerce,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,15.0,2
sdr.gov,Department Of Commerce,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,National Science and Technology Council,Washington,DC,15.0,2
semiconductors.gov,Department Of Commerce,1,0,0,1,1,0,1,1,1,0,1,0,0,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,54.0,7
spaceweather.gov,Department Of Commerce,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,Space Environment Center W/NP9,Boulder,CO,23.0,3
sworm.gov,Department Of Commerce,1,0,0,0,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,NOAA/Space Weather Prediction Center,Boulder,CO,8.0,1
spectrum.gov,Department Of Commerce,1,1,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,31.0,4
hurricanes.gov,Department Of Commerce,1,1,1,1,1,1,0,1,1,1,1,1,1,Federal - Executive,Department of Commerce,NOAA/National Hurricane Center,Miami,FL,92.0,12
standards.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,0,0,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,69.0,9
papahanaumokuakea.gov,Department Of Commerce,1,1,0,1,1,0,0,0,1,1,1,0,0,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,MD,54.0,7
selectusa.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,77.0,10
pscr.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,0,0,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,69.0,9
usicecenter.gov,Department Of Commerce,1,1,1,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,U. S. National Ice Center,Suitland,MD,31.0,4
spd15revision.gov,Department Of Commerce,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,23.0,3
trade.gov,Department Of Commerce,1,1,0,1,1,0,1,1,1,1,1,1,0,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,77.0,10
